Position,name,P,HW,HD,HL,HF,HA,AW,AD,AL,AF,AA,W,D,L,F,A,GD,Pts,PPG
1,Manchester City,38,16,2,1,61,14,16,2,1,45,13,32,4,2,106,27,79,100,2.63
2,Manchester United,38,15,2,2,38,9,10,4,5,30,19,25,6,7,68,28,40,81,2.13
3,Tottenham Hotspur,38,13,4,2,40,16,10,4,5,34,20,23,8,7,74,36,38,77,2.02
4,Liverpool,38,12,7,0,45,10,9,5,5,39,28,21,12,5,84,38,46,75,1.97
5,Chelsea,38,11,4,4,30,16,10,3,6,32,22,21,7,10,62,38,24,70,1.84
6,Arsenal,38,15,2,2,54,20,4,4,11,20,31,19,6,13,74,51,23,63,1.65
7,Burnley,38,7,5,7,16,17,7,7,5,20,22,14,12,12,36,39,-3,54,1.42
8,Everton,38,10,4,5,28,22,3,6,10,16,36,13,10,15,44,58,-14,49,1.28
9,Leicester City,38,7,6,6,25,22,5,5,9,31,38,12,11,15,56,60,-4,47,1.23
10,Newcastle United,38,8,4,7,21,17,4,4,11,18,30,12,8,18,39,47,-8,44,1.15
11,Crystal Palace,38,7,5,7,29,27,4,6,9,16,28,11,11,16,45,55,-10,44,1.15
12,AFC Bournemouth,38,7,5,7,26,30,4,6,9,19,31,11,11,16,45,61,-16,44,1.15
13,West Ham United,38,7,6,6,24,26,3,6,10,24,42,10,12,16,48,68,-20,42,1.1
14,Watford,38,7,6,6,27,31,4,2,13,17,33,11,8,19,44,64,-20,41,1.07
15,Brighton & Hove Albion,38,7,8,4,24,25,2,5,12,10,29,9,13,16,34,54,-20,40,1.05
16,Huddersfield Town,38,6,5,8,16,25,3,5,11,12,33,9,10,19,28,58,-30,37,0.97
17,Southampton,38,4,7,8,20,26,3,8,8,17,30,7,15,16,37,56,-19,36,0.94
18,Swansea City,38,6,3,10,17,24,2,6,11,11,32,8,9,21,28,56,-28,33,0.86
19,Stoke City,38,5,5,9,20,30,2,7,10,15,38,7,12,19,35,68,-33,33,0.86
20,West Bromwich Albion,38,3,9,7,21,29,3,4,12,10,27,6,13,19,31,56,-25,31,0.81
